date,coin,price_in_usd
6/7/2011,BITCOIN,23.23787846
6/8/2011,BITCOIN,29.02992133
6/9/2011,BITCOIN,28.79054402
6/10/2011,BITCOIN,24.04939923
6/11/2011,BITCOIN,14.74974663
6/12/2011,BITCOIN,18.85014473
6/13/2011,BITCOIN,19.54232911
6/14/2011,BITCOIN,19.25773551
6/15/2011,BITCOIN,19.46414262
6/16/2011,BITCOIN,17.92936254
6/17/2011,BITCOIN,15.43636891
6/18/2011,BITCOIN,16.87540454
6/19/2011,BITCOIN,17.51071679
6/20/2011,BITCOIN,17.51071679
6/21/2011,BITCOIN,17.51071679
6/22/2011,BITCOIN,17.51071679
6/23/2011,BITCOIN,17.51071679
6/24/2011,BITCOIN,17.51071679
6/25/2011,BITCOIN,17.51071679
6/26/2011,BITCOIN,16.36134202
6/27/2011,BITCOIN,16.75228581
6/28/2011,BITCOIN,16.96183531
6/29/2011,BITCOIN,16.85456832
6/30/2011,BITCOIN,16.18526278
7/1/2011,BITCOIN,15.4203574
7/2/2011,BITCOIN,15.38284407
7/3/2011,BITCOIN,15.45755056
7/4/2011,BITCOIN,13.85279681
7/5/2011,BITCOIN,12.96481771
7/6/2011,BITCOIN,14.71478358
7/7/2011,BITCOIN,14.79728916
7/8/2011,BITCOIN,14.2990377
7/9/2011,BITCOIN,14.38150067
7/10/2011,BITCOIN,14.62293755
7/11/2011,BITCOIN,14.31015543
7/12/2011,BITCOIN,14.02127262
7/13/2011,BITCOIN,13.97145452
7/14/2011,BITCOIN,13.99797455
7/15/2011,BITCOIN,13.80639041
7/16/2011,BITCOIN,13.7130793
7/17/2011,BITCOIN,13.25813531
7/18/2011,BITCOIN,13.63052125
7/19/2011,BITCOIN,13.82479484
7/20/2011,BITCOIN,13.67833059
7/21/2011,BITCOIN,13.61180844
7/22/2011,BITCOIN,13.69854733
7/23/2011,BITCOIN,13.68171834
7/24/2011,BITCOIN,13.99251518
7/25/2011,BITCOIN,14.03342538
7/26/2011,BITCOIN,13.87803232
7/27/2011,BITCOIN,13.87822476
7/28/2011,BITCOIN,13.49159108
7/29/2011,BITCOIN,13.51231639
7/30/2011,BITCOIN,13.54028067
7/31/2011,BITCOIN,13.3729061
8/1/2011,BITCOIN,13.01911385
8/2/2011,BITCOIN,12.21415644
8/3/2011,BITCOIN,9.286356914
8/4/2011,BITCOIN,10.76850375
8/5/2011,BITCOIN,9.73015396
8/6/2011,BITCOIN,6.964169736
8/7/2011,BITCOIN,8.501793292
8/8/2011,BITCOIN,7.775337638
8/9/2011,BITCOIN,9.802499481
8/10/2011,BITCOIN,10.05125313
8/11/2011,BITCOIN,9.438412995
8/12/2011,BITCOIN,9.452993285
8/13/2011,BITCOIN,10.00402474
8/14/2011,BITCOIN,10.80682077
8/15/2011,BITCOIN,11.13069655
8/16/2011,BITCOIN,10.99196557
8/17/2011,BITCOIN,10.96396406
8/18/2011,BITCOIN,10.85847146
8/19/2011,BITCOIN,11.67047304
8/20/2011,BITCOIN,11.45973174
8/21/2011,BITCOIN,11.35448134
8/22/2011,BITCOIN,10.92089582
8/23/2011,BITCOIN,10.91724505
8/24/2011,BITCOIN,10.87044429
8/25/2011,BITCOIN,9.546093674
8/26/2011,BITCOIN,8.126920163
8/27/2011,BITCOIN,8.596497607
8/28/2011,BITCOIN,9.0308664
8/29/2011,BITCOIN,8.961157271
8/30/2011,BITCOIN,8.809948738
8/31/2011,BITCOIN,8.199151764
9/1/2011,BITCOIN,8.234281665
9/2/2011,BITCOIN,8.621424438
9/3/2011,BITCOIN,8.449653441
9/4/2011,BITCOIN,8.203470602
9/5/2011,BITCOIN,7.597332525
9/6/2011,BITCOIN,6.846530029
9/7/2011,BITCOIN,7.162970274
9/8/2011,BITCOIN,6.67818
9/9/2011,BITCOIN,4.986777042
9/10/2011,BITCOIN,4.742846655
9/11/2011,BITCOIN,5.852903973
9/12/2011,BITCOIN,6.090629472
9/13/2011,BITCOIN,5.802523277
9/14/2011,BITCOIN,5.59743261
9/15/2011,BITCOIN,4.867755185
9/16/2011,BITCOIN,4.831168101
9/17/2011,BITCOIN,4.775285635
9/18/2011,BITCOIN,5.236732278
9/19/2011,BITCOIN,5.520376692
9/20/2011,BITCOIN,6.146665552
9/21/2011,BITCOIN,5.597067498
9/22/2011,BITCOIN,5.475048777
9/23/2011,BITCOIN,5.56342142
9/24/2011,BITCOIN,5.457889687
9/25/2011,BITCOIN,5.341154881
9/26/2011,BITCOIN,4.873826081
9/27/2011,BITCOIN,4.911157793
9/28/2011,BITCOIN,4.763415321
9/29/2011,BITCOIN,4.777660978
9/30/2011,BITCOIN,5.14368591
10/1/2011,BITCOIN,5.034070545
10/2/2011,BITCOIN,5.007062597
10/3/2011,BITCOIN,5.02284486
10/4/2011,BITCOIN,4.956805621
10/5/2011,BITCOIN,4.885067131
10/6/2011,BITCOIN,4.730166296
10/7/2011,BITCOIN,4.276035757
10/8/2011,BITCOIN,3.981252994
10/9/2011,BITCOIN,4.111634643
10/10/2011,BITCOIN,4.074962484
10/11/2011,BITCOIN,4.008924496
10/12/2011,BITCOIN,4.166235342
10/13/2011,BITCOIN,4.03698109
10/14/2011,BITCOIN,3.986280885
10/15/2011,BITCOIN,3.83733856
10/16/2011,BITCOIN,3.609741717
10/17/2011,BITCOIN,2.581246722
10/18/2011,BITCOIN,2.422274738
10/19/2011,BITCOIN,2.217254713
10/20/2011,BITCOIN,2.356123508
10/21/2011,BITCOIN,2.570092305
10/22/2011,BITCOIN,3.155486139
10/23/2011,BITCOIN,3.14775093
10/24/2011,BITCOIN,2.522935998
10/25/2011,BITCOIN,2.801923831
10/26/2011,BITCOIN,2.777505239
10/27/2011,BITCOIN,3.045407828
10/28/2011,BITCOIN,3.179639437
10/29/2011,BITCOIN,3.569188969
10/30/2011,BITCOIN,3.257403723
10/31/2011,BITCOIN,3.265098213
11/1/2011,BITCOIN,3.171007743
11/2/2011,BITCOIN,3.255800567
11/3/2011,BITCOIN,3.168316385
11/4/2011,BITCOIN,3.120118172
11/5/2011,BITCOIN,2.977817598
11/6/2011,BITCOIN,2.962720577
11/7/2011,BITCOIN,3.017757687
11/8/2011,BITCOIN,3.056567111
11/9/2011,BITCOIN,2.919567224
11/10/2011,BITCOIN,2.856702085
11/11/2011,BITCOIN,3.067861733
11/12/2011,BITCOIN,3.025522996
11/13/2011,BITCOIN,2.986373303
11/14/2011,BITCOIN,2.224224464
11/15/2011,BITCOIN,2.322384116
11/16/2011,BITCOIN,2.546780931
11/17/2011,BITCOIN,2.279095836
11/18/2011,BITCOIN,2.105066003
11/19/2011,BITCOIN,2.203456722
11/20/2011,BITCOIN,2.20198951
11/21/2011,BITCOIN,2.279879165
11/22/2011,BITCOIN,2.322458596
11/23/2011,BITCOIN,2.330323568
11/24/2011,BITCOIN,2.438879
11/25/2011,BITCOIN,2.496161003
11/26/2011,BITCOIN,2.471799969
11/27/2011,BITCOIN,2.477564951
11/28/2011,BITCOIN,2.541240252
11/29/2011,BITCOIN,2.757698483
11/30/2011,BITCOIN,2.966041546
12/1/2011,BITCOIN,3.08258945
12/2/2011,BITCOIN,3.100402333
12/3/2011,BITCOIN,2.803856185
12/4/2011,BITCOIN,2.819693976
12/5/2011,BITCOIN,2.874796227
12/6/2011,BITCOIN,3.025360451
12/7/2011,BITCOIN,2.985502421
12/8/2011,BITCOIN,2.991880483
12/9/2011,BITCOIN,2.955791952
12/10/2011,BITCOIN,3.068975267
12/11/2011,BITCOIN,3.249268847
12/12/2011,BITCOIN,3.187335357
12/13/2011,BITCOIN,3.241088409
12/14/2011,BITCOIN,3.155086504
12/15/2011,BITCOIN,3.203138541
12/16/2011,BITCOIN,3.209137777
12/17/2011,BITCOIN,3.192541704
12/18/2011,BITCOIN,3.194010809
12/19/2011,BITCOIN,3.525773919
12/20/2011,BITCOIN,3.952550827
12/21/2011,BITCOIN,3.888993251
12/22/2011,BITCOIN,3.903060421
